customer_id,total_spend,total_visits,atv,total_item_count,cancellation_rate,unique_products,time_of_day,day_of_week,discount_rate,loyalty_member
12346,258.679999999993,17,15.216470588234884,66,0.29411764705882354,30,13,0,0.15384615384615385,1
12347,4921.53,8,615.19125,2967,0.0,126,14,1,0.12162162162162163,0
12348,1817.8,5,363.56,2234,0.0,25,14,0,0.0851063829787234,0
12349,4404.54,5,880.908,1619,0.2,139,9,3,0.10555555555555556,0
12350,334.4,1,334.4,197,0.0,17,16,2,0.11764705882352941,0
12351,300.93,1,300.93,261,0.0,21,15,0,0.14285714285714285,1
12352,1609.16,13,123.78153846153847,657,0.23076923076923078,70,14,1,0.11818181818181818,1
12353,406.76,2,203.38,212,0.0,23,12,2,0.08333333333333333,0
12354,1079.4,1,1079.4,530,0.0,58,13,3,0.20689655172413793,0
12355,947.61,2,473.805,543,0.0,35,11,4,0.11428571428571428,1
12356,6369.18,6,1061.53,3415,0.0,104,9,0,0.07801418439716312,1
12357,18287.66,3,6095.886666666666,6587,0.0,261,10,1,0.11486486486486487,0
12358,3878.82,5,775.764,1074,0.0,56,10,0,0.15789473684210525,1
12359,8537.59,14,609.8278571428572,2504,0.2857142857142857,305,12,0,0.14324324324324325,0
12360,4212.89,9,468.09888888888895,2458,0.1111111111111111,160,9,1,0.11467889908256881,0
12361,511.25,4,127.8125,235,0.0,18,15,4,0.06896551724137931,0
12362,5284.58,14,377.46999999999997,2213,0.21428571428571427,201,15,3,0.14909090909090908,0
12363,552.0,2,276.0,408,0.0,23,13,0,0.17391304347826086,1
12364,1313.1,4,328.275,1506,0.0,70,15,4,0.15294117647058825,0
12365,320.69,3,106.89666666666666,173,0.3333333333333333,22,13,0,0.08695652173913043,1
12366,500.24,1,500.24,296,0.0,3,10,1,0.0,0
12367,168.9,1,168.9,173,0.0,11,16,0,0.18181818181818182,0
12368,917.6999999999999,1,917.6999999999999,330,0.0,18,15,6,0.05555555555555555,1
12369,1791.15,3,597.0500000000001,1241,0.0,90,14,3,0.13978494623655913,1
12370,4316.56,7,616.6514285714286,2604,0.0,168,12,1,0.13432835820895522,1
12371,4067.38,5,813.476,1436,0.0,134,13,1,0.1377245508982036,0
12372,1298.04,3,432.68,794,0.0,34,12,2,0.11538461538461539,0
12373,1127.65,3,375.8833333333334,516,0.0,36,13,3,0.09803921568627451,0
12374,2989.2200000000003,4,747.3050000000001,1362,0.0,79,14,4,0.12048192771084337,0
12375,455.42,3,151.80666666666667,177,0.3333333333333333,14,14,4,0.16666666666666666,0
12376,503.15,2,251.575,240,0.0,11,8,0,0.07692307692307693,0
12377,3426.32,4,856.58,2105,0.0,129,15,3,0.16447368421052633,0
12378,5416.32,2,2708.16,3316,0.0,281,10,1,0.08970099667774087,0
12379,1618.27,5,323.654,814,0.2,58,14,2,0.12195121951219512,0
12380,7888.0,15,525.8666666666667,3325,0.26666666666666666,156,15,1,0.08480565371024736,0
12381,1803.96,6,300.66,783,0.16666666666666666,70,9,4,0.0989010989010989,1
12382,-18.38,1,-18.38,-1,1.0,1,16,1,0.0,0
12383,1839.31,6,306.5516666666667,1529,0.16666666666666666,84,14,2,0.17,1
12384,566.16,3,188.72,121,0.3333333333333333,26,11,2,0.26666666666666666,1
12385,1923.4,2,961.7,611,0.5,65,15,3,0.13636363636363635,0
12386,401.9,2,200.95,354,0.0,10,9,2,0.3,0
12387,143.94,1,143.94,134,0.0,9,16,2,0.3333333333333333,0
12388,3901.11,8,487.63875,2001,0.0,83,12,3,0.11643835616438356,0
12389,1433.33,3,477.77666666666664,614,0.0,41,11,1,0.12244897959183673,1
12390,549.84,1,549.84,353,0.0,32,9,2,0.125,0
12391,2669.89,7,381.41285714285715,1183,0.14285714285714285,241,12,2,0.09433962264150944,0
12392,234.75000000000003,1,234.75000000000003,73,0.0,7,14,1,0.14285714285714285,0
12393,2343.55,7,334.79285714285714,1297,0.14285714285714285,63,9,0,0.12612612612612611,0
12394,1272.48,2,636.24,819,0.0,26,14,4,0.1111111111111111,0
12395,4700.82,18,261.15666666666664,3200,0.16666666666666666,145,16,4,0.10612244897959183,0
12396,931.43,1,931.43,591,0.0,65,13,2,0.2,1
12397,2409.9,2,1204.95,1263,0.0,110,14,2,0.09523809523809523,0
12398,1635.6599999999999,1,1635.6599999999999,1394,0.0,85,10,1,0.1411764705882353,1
12399,1962.3,7,280.3285714285714,2198,0.0,67,9,4,0.09090909090909091,1
12400,205.25,1,205.25,91,0.0,11,13,3,0.09090909090909091,1
12401,84.3,1,84.3,11,0.0,5,13,2,0.2,0
12402,1244.15,7,177.7357142857143,583,0.14285714285714285,43,12,6,0.09859154929577464,1
12403,1001.36,3,333.7866666666667,259,0.3333333333333333,5,10,4,0.2,1
12404,63.24,1,63.24,1,0.0,1,16,1,1.0,0
12405,1710.39,1,1710.39,857,0.0,54,8,3,0.12962962962962962,0
12406,6030.96,7,861.5657142857143,3358,0.2857142857142857,114,19,3,0.11834319526627218,0
12407,1708.1200000000001,5,341.624,1416,0.0,57,9,2,0.09090909090909091,0
12408,4279.64,14,305.68857142857144,2186,0.42857142857142855,104,13,4,0.1,0
12409,23090.47,13,1776.19,13027,0.46153846153846156,177,10,4,0.10294117647058823,1
12410,1001.46,4,250.365,339,0.25,36,10,4,0.14285714285714285,0
12411,346.9,1,346.9,138,0.0,22,9,1,0.2727272727272727,1
12412,2581.03,8,322.62875,1991,0.25,82,13,0,0.11450381679389313,0
12413,935.5,6,155.91666666666666,315,0.3333333333333333,41,16,3,0.1320754716981132,0
12414,692.41,8,86.55125,301,0.25,21,14,3,0.13513513513513514,0
12415,143269.29,33,4341.493636363637,91315,0.15151515151515152,498,15,2,0.1191919191919192,0
12416,202.56,1,202.56,132,0.0,11,10,6,0.18181818181818182,0
12417,6688.71,27,247.73,2870,0.25925925925925924,270,10,3,0.12894736842105264,1
12418,2016.95,5,403.39,1087,0.2,90,11,4,0.1262135922330097,0
12419,503.01,2,251.505,231,0.0,23,10,4,0.12,0
12420,600.39,1,600.39,345,0.0,29,8,4,0.06896551724137931,1
12421,1092.83,8,136.60375,647,0.25,45,13,2,0.23880597014925373,1
12422,4119.35,21,196.15952380952382,2591,0.19047619047619047,137,13,4,0.14772727272727273,0
12423,2612.19,11,237.47181818181818,1781,0.09090909090909091,128,10,0,0.10843373493975904,0
12424,3289.78,7,469.96857142857147,2015,0.42857142857142855,80,10,2,0.12371134020618557,0
12425,1680.81,3,560.27,1103,0.3333333333333333,87,14,4,0.06315789473684211,1
12426,1311.41,3,437.1366666666667,577,0.3333333333333333,73,8,0,0.14634146341463414,1
12427,708.37,5,141.674,236,0.4,26,15,0,0.11428571428571428,1
12428,7877.2,12,656.4333333333333,3503,0.25,258,9,1,0.14333333333333334,0
12429,6154.01,9,683.7788888888889,2770,0.1111111111111111,124,12,4,0.11688311688311688,0
12430,256.4,1,256.4,117,0.0,11,15,3,0.0,0
12431,10293.66,33,311.9290909090909,4544,0.18181818181818182,244,9,3,0.13316582914572864,0
12432,5059.32,5,1011.8639999999999,1801,0.0,107,13,0,0.09259259259259259,1
12433,16641.74,11,1512.8854545454546,13533,0.09090909090909091,286,13,4,0.13214285714285715,1
12434,1062.48,5,212.496,511,0.4,62,13,4,0.06756756756756757,0
12435,13925.93,6,2320.9883333333332,4958,0.0,88,16,3,0.15178571428571427,1
12436,509.01,1,509.01,211,0.0,16,12,3,0.1875,0
12437,12394.85,47,263.72021276595746,7931,0.1702127659574468,274,9,2,0.1320754716981132,0
12438,2906.85,2,1453.425,1180,0.0,84,13,4,0.14285714285714285,0
12439,1089.18,3,363.06,448,0.3333333333333333,69,8,0,0.12162162162162163,0
12440,768.15,3,256.05,308,0.3333333333333333,21,12,1,0.02857142857142857,0
12441,173.55,1,173.55,121,0.0,11,10,2,0.36363636363636365,0
12442,172.06,1,172.06,182,0.0,12,14,1,0.25,0
12443,485.31,1,485.31,182,0.0,21,15,0,0.047619047619047616,1
12444,5005.46,5,1001.092,1153,0.0,138,14,1,0.125,0
12445,426.48,3,142.16,204,0.3333333333333333,24,12,4,0.08,1
12446,1002.3100000000001,1,1002.3100000000001,352,0.0,58,12,3,0.08620689655172414,1
12447,476.49,1,476.49,190,0.0,26,13,6,0.11538461538461539,0
12448,449.45,1,449.45,243,0.0,22,13,2,0.22727272727272727,0
12449,4835.89,6,805.9816666666667,2282,0.0,125,9,3,0.12935323383084577,0
12450,666.95,7,95.27857142857144,435,0.2857142857142857,31,16,6,0.15,0
12451,12546.53,10,1254.653,9226,0.2,352,12,2,0.1303501945525292,0
12452,428.57,3,142.85666666666665,183,0.3333333333333333,21,8,2,0.0,0
12453,707.09,1,707.09,473,0.0,43,14,3,0.23255813953488372,0
12454,4292.71,9,476.96777777777777,2232,0.4444444444444444,25,17,1,0.1111111111111111,0
12455,5879.95,10,587.995,3302,0.0,199,12,4,0.1145374449339207,0
12456,3153.89,4,788.4725,1616,0.25,105,15,2,0.12403100775193798,0
12457,2472.31,14,176.59357142857144,937,0.42857142857142855,63,15,3,0.07608695652173914,0
12458,1777.49,4,444.3725,986,0.0,71,10,0,0.11904761904761904,1
12459,454.36,1,454.36,258,0.0,23,14,1,0.13043478260869565,0
12460,326.65,1,326.65,170,0.0,18,13,3,0.1111111111111111,0
12461,826.88,2,413.44,287,0.0,35,10,4,0.05714285714285714,1
12462,1124.01,4,281.0025,514,0.5,51,14,2,0.125,0
12463,1303.63,7,186.23285714285717,757,0.42857142857142855,66,13,1,0.11363636363636363,0
12464,1212.05,8,151.50625,112,0.0,6,13,3,0.10344827586206896,0
12465,733.89,3,244.63,475,0.3333333333333333,46,13,3,0.058823529411764705,0
12466,56.73,1,56.73,1,0.0,1,16,1,0.0,0
12467,0.0,2,0.0,0,0.5,9,15,1,0.0,0
12468,3624.55,10,362.45500000000004,2184,0.5,130,10,4,0.15950920245398773,1
12469,3070.54,2,1535.27,2552,0.0,76,12,0,0.09210526315789473,1
12470,211.95,1,211.95,95,0.0,23,11,1,0.17391304347826086,0
12471,37925.01,129,293.9923255813954,16440,0.3875968992248062,256,12,0,0.12364760432766615,1
12472,15447.69,37,417.50513513513516,9978,0.4864864864864865,400,12,0,0.10880829015544041,1
12473,2413.67,9,268.18555555555554,2337,0.4444444444444444,140,11,0,0.08571428571428572,0
12474,11948.75,54,221.27314814814815,7787,0.42592592592592593,369,12,1,0.1116951379763469,0
12475,1149.64,2,574.82,771,0.0,54,10,0,0.16393442622950818,0
12476,13634.62,38,358.80578947368423,5529,0.39473684210526316,358,10,1,0.09982174688057041,1
12477,20173.64,12,1681.1366666666665,6086,0.25,296,9,4,0.1048951048951049,0
12478,680.99,1,680.99,236,0.0,36,9,1,0.19444444444444445,0
12479,477.3,3,159.1,351,0.6666666666666666,31,13,0,0.11428571428571428,0
12480,5435.1,8,679.3875,2947,0.125,177,14,4,0.1673469387755102,1
12481,12041.15,18,668.9527777777778,7020,0.16666666666666666,248,13,2,0.11979166666666667,0
12482,21893.53,32,684.1728125,27039,0.09375,42,16,2,0.1111111111111111,0
12483,4823.47,27,178.64703703703705,2133,0.2962962962962963,68,11,1,0.12244897959183673,0
12484,6105.56,16,381.5975,3177,0.25,330,14,4,0.09347826086956522,0
12485,708.1,1,708.1,414,0.0,34,15,0,0.11764705882352941,0
12486,1037.28,1,1037.28,523,0.0,49,12,0,0.14285714285714285,0
12487,259.79999999999995,2,129.89999999999998,144,0.5,3,11,2,0.0,0
12488,1298.66,3,432.8866666666667,529,0.0,46,10,2,0.09090909090909091,1
12489,334.93,1,334.93,105,0.0,15,13,4,0.2,1
12490,9818.64,22,446.30181818181813,5902,0.045454545454545456,195,14,4,0.11231101511879049,0
12491,413.6,1,413.6,188,0.0,25,12,1,0.16,0
12492,715.21,3,238.40333333333334,444,0.0,38,14,0,0.07142857142857142,0
12493,416.79,3,138.93,206,0.3333333333333333,20,14,3,0.043478260869565216,0
